"Hashtag","Freq"
"cancelstudentdebt",193048
"cancelallstudentdebtnow",15786
"cancelallstudentdebt",10786
"codifyroenow",6701
"medicareforall",6507
"studentloanforgiveness",6312
"codifyroe",5670
"climatecrisis",5209
"climateaction",5028
"climateactionnow",5023
"cancelstudentloans",5004
"arresttheoligarchy",4752
"s2598",4560
"cancelstudetdebtnow",4426
"studentloans",4238
"legalizeit",3926
"legalize",3760
"cancelstudentdebtnow",3384
"elonmusk",2622
"rememberinnovember",2543
"studentdebt",2159
"studentloanjustice",1794
"donothingbiden",1781
"pslf",1715
"college4all",1651
"extendthepause",1382
"studentloan",1372
"fuckfbi",1338
"biden",1330
"deserve",1321
"joebiden",1307
"facebookhacked",1173
"ukraine",1066
"biggestloser",984
"trump",960
"philosophy",946
"10knoway",937
"america",913
"canada",881
"zelensky",878
"trudeau",875
"now",862
"students",828
"democrats",800
"russia",777
"putin",766
"livingwage",747
"medical",747
"professionals",747
"risk",747
"expandthecourt",742
"wealthtax",740
"ukrainerussiawar",725
"lives",724
"endgerrymandering",696
"socialsecurity",684
"votebluenomatterwho",684
"votebluein2022",671
"championsleague",655
"endcitizensunited",645
"studentdebtcrisis",634
"debtstrike",619
"abolishthesenate",589
"bancorporatepacs",571
"endthefillibusternow",569
"abolishtheelectoralcollege",568
"mostifnotall",566
"foxnews",557
"endvotersupression",556
"gamer",501
"ap",478
"debt",471
"fjbiden",464
"canceltherest",457
"cnn",455
"secure2100",444
"nn22",440
"hr4907",429
"britneyspears",411
"raisethewage",402
"midterms2022",384
"donothingdems",383
"msnbc",365
"taxtherich",365
"neo",361
"stoic",361
"60minutes",360
"roevswade",358
"education",349
"onepiece1058",347
"voteblue",337
"mapoli",329
"ubi",325
"pepsitambahayparty",320
"모일수록_완벽한_드림6주년",318
"studentloans2022",308
"นายกเถื่อน",298
"costoflivingcrisis",297
"coldplaynapoli",291
"βροχη",291
"fintech",288
"pizzeandolanota",288
"voteblueorwerescrewed",288
"antojvp",286
"cancelstudentloandebt",283
"potus",278
